Project Name,Borough,NTA - Neighborhood Tabulation Area,Income,Rented_vs_Owned,Level of Affordable in Building
SUS. 1674 Broadway and 768 Decatur. Henry Apts.,Brooklyn,BK79,very_low,mostly_rented,mostly_affordable
SUS. 1674 Broadway and 768 Decatur. Henry Apts.,Brooklyn,BK79,very_low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK82,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK75,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK81,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK78,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK77,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Kings Villas - St. Nicks,Brooklyn,BK35,low,mostly_rented,mostly_affordable
810 River,Bronx,BX63,moderately_low,mostly_rented,mostly_affordable
Crotona Terrace I aka 1825 Boston Road,Bronx,BX75,low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX14,moderately_low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX14,moderately_low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX14,low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX39,low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX14,low,mostly_rented,mostly_affordable
Grand & Rogers Cluster - JGV,Bronx,BX33,low,mostly_rented,mostly_affordable
TMN906 - NMIC,Manhattan,MN35,low,mostly_rented,mostly_affordable
346 Bergen Street,Brooklyn,BK38,moderately_low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
